Date,Close,200d,50d,20d,5d,Long Term,Medium Term,Short Term
2012-12-31,37.9,,,,,hold,hold,hold
2013-01-02,38.84,,,,,hold,hold,hold
2013-01-03,38.88,,,,,hold,hold,hold
2013-01-04,39.19,,,,,hold,hold,hold
2013-01-07,39.47,,,,38.856,hold,hold,hold
2013-01-08,39.84,,,,39.244,hold,hold,hold
2013-01-09,40.45,,,,39.566,hold,hold,hold
2013-01-10,40.13,,,,39.816,hold,hold,hold
2013-01-11,40.29,,,,40.036,hold,hold,hold
2013-01-14,40.16,,,,40.174,hold,hold,hold
2013-01-15,40.11,,,,40.228,hold,hold,hold
2013-01-16,40.05,,,,40.148,hold,hold,hold
2013-01-17,39.97,,,,40.116,hold,hold,hold
2013-01-18,39.57,,,,39.972,hold,hold,hold
2013-01-22,39.76,,,,39.892,hold,hold,hold
2013-01-23,39.76,,,,39.822,hold,hold,hold
2013-01-24,39.89,,,,39.79,hold,hold,hold
2013-01-25,39.96,,,,39.788,hold,hold,hold
2013-01-28,39.09,,,,39.692,hold,hold,hold
2013-01-29,39.16,,,39.6235,39.572,hold,hold,sell
2013-01-30,38.75,,,39.666,39.37,hold,hold,sell
2013-01-31,39.48,,,39.698,39.288,hold,hold,sell
2013-02-01,39.64,,,39.736,39.224,hold,hold,sell
2013-02-04,39.16,,,39.7345,39.238,hold,hold,sell
2013-02-05,39.88,,,39.755,39.382,hold,hold,hold
2013-02-06,40.2,,,39.773,39.672,hold,hold,hold
2013-02-07,39.26,,,39.7135,39.628,hold,hold,sell
2013-02-08,39.45,,,39.6795,39.59,hold,hold,sell
2013-02-11,39.08,,,39.619,39.574,hold,hold,sell
2013-02-12,39.2,,,39.571,39.438,hold,hold,sell
2013-02-13,38.69,,,39.5,39.136,hold,hold,sell
2013-02-14,39.0,,,39.4475,39.084,hold,hold,sell
2013-02-15,39.5,,,39.424,39.094,hold,hold,hold
2013-02-19,39.4,,,39.4155,39.158,hold,hold,sell
2013-02-20,38.86,,,39.3705,39.09,hold,hold,sell
2013-02-21,39.36,,,39.3505,39.224,hold,hold,hold
2013-02-22,39.86,,,39.349,39.396,hold,hold,buy
2013-02-25,38.97,,,39.2995,39.29,hold,hold,sell
2013-02-26,39.46,,,39.318,39.302,hold,hold,hold
2013-02-27,39.97,,,39.3585,39.524,hold,hold,buy
2013-02-28,39.66,,,39.404,39.584,hold,hold,buy
2013-03-01,39.52,,,39.406,39.516,hold,hold,buy
2013-03-04,39.88,,,39.418,39.698,hold,hold,buy
2013-03-05,40.07,,,39.4635,39.82,hold,hold,buy
2013-03-06,40.26,,,39.4825,39.878,hold,hold,buy
2013-03-07,40.13,,,39.479,39.972,hold,hold,buy
2013-03-08,40.17,,,39.5245,40.102,hold,hold,buy
2013-03-11,40.3,,,39.567,40.186,hold,hold,buy
2013-03-12,39.95,,,39.6105,40.162,hold,hold,buy
2013-03-13,39.84,,39.5884,39.6425,40.078,hold,buy,buy
2013-03-14,40.16,,39.6336,39.716,40.084,hold,buy,buy
2013-03-15,39.64,,39.6496,39.748,39.978,hold,hold,hold
2013-03-18,39.52,,39.6624,39.749,39.822,hold,hold,hold
2013-03-19,39.0,,39.6586,39.729,39.632,hold,hold,sell
2013-03-20,39.83,,39.6658,39.7775,39.63,hold,buy,hold
2013-03-21,39.45,,39.658,39.782,39.488,hold,hold,sell
2013-03-22,40.02,,39.6494,39.79,39.564,hold,buy,hold
2013-03-25,41.0,,39.6668,39.8915,39.86,hold,buy,hold
2013-03-26,41.86,,39.6982,40.0115,40.432,hold,buy,buy
2013-03-27,42.16,,39.7382,40.121,40.898,hold,buy,buy
2013-03-28,42.46,,39.7852,40.261,41.5,hold,buy,buy
2013-04-01,41.84,,39.821,40.377,41.864,hold,buy,buy
2013-04-02,41.99,,39.8614,40.4825,42.062,hold,buy,buy
2013-04-03,41.19,,39.8938,40.5385,41.928,hold,buy,buy
2013-04-04,41.62,,39.931,40.6065,41.82,hold,buy,buy
2013-04-05,41.29,,39.9616,40.6645,41.586,hold,buy,buy
2013-04-08,41.57,,39.9952,40.7345,41.532,hold,buy,buy
2013-04-09,41.19,,40.0198,40.779,41.372,hold,buy,buy
2013-04-10,41.75,,40.073,40.869,41.484,hold,buy,buy
2013-04-11,41.9,,40.1278,40.972,41.54,hold,buy,buy
2013-04-12,41.44,,40.1816,41.036,41.57,hold,buy,buy
2013-04-15,40.32,,40.1984,41.07,41.32,hold,buy,hold
2013-04-16,41.18,,40.2292,41.153,41.318,hold,buy,buy
2013-04-17,40.56,,40.2572,41.231,41.08,hold,buy,sell
2013-04-18,40.35,,40.2666,41.257,40.77,hold,buy,sell
2013-04-19,40.99,,40.2824,41.334,40.68,hold,buy,sell
2013-04-22,40.88,,40.3148,41.377,40.792,hold,buy,sell
2013-04-23,41.42,,40.3542,41.398,40.84,hold,buy,hold
2013-04-24,41.76,,40.4078,41.393,41.08,hold,buy,hold
2013-04-25,42.19,,40.4676,41.3945,41.448,hold,buy,buy
2013-04-26,41.81,,40.53,41.362,41.612,hold,buy,buy
2013-04-29,41.98,,40.5896,41.369,41.832,hold,buy,buy
2013-04-30,42.12,,40.642,41.3755,41.972,hold,buy,buy
2013-05-01,41.5,,40.684,41.391,41.92,hold,buy,buy
2013-05-02,43.85,,40.7838,41.5025,42.252,hold,buy,buy
2013-05-03,44.88,,40.8942,41.682,42.866,hold,buy,buy
2013-05-06,44.72,,40.9914,41.8395,43.414,hold,buy,buy
2013-05-07,44.95,,41.111,42.0275,43.98,hold,buy,buy
2013-05-08,44.82,,41.2182,42.181,44.644,hold,buy,buy
2013-05-09,44.64,,41.3116,42.318,44.802,hold,buy,buy
2013-05-10,44.69,,41.4122,42.4805,44.764,hold,buy,buy
2013-05-13,44.73,,41.5164,42.701,44.766,hold,buy,buy
2013-05-14,45.08,,41.6204,42.896,44.792,hold,buy,buy
2013-05-15,45.44,,41.7278,43.14,44.916,hold,buy,buy
2013-05-16,44.95,,41.8216,43.37,44.978,hold,buy,buy
2013-05-17,46.14,,41.9418,43.6275,45.268,hold,buy,buy
2013-05-20,45.4,,42.0464,43.8535,45.402,hold,buy,buy
2013-05-21,45.39,,42.1482,44.052,45.464,hold,buy,buy
2013-05-22,45.04,,42.25,44.216,45.384,hold,buy,buy
2013-05-23,44.52,,42.3436,44.3325,45.298,hold,buy,buy
2013-05-24,45.11,,42.4426,44.4975,45.092,hold,buy,buy
2013-05-28,45.01,,42.55,44.649,45.014,hold,buy,buy
2013-05-29,44.54,,42.6504,44.77,44.844,hold,buy,hold
2013-05-30,45.26,,42.7756,44.958,44.888,hold,buy,hold
2013-05-31,44.54,,42.8698,44.9925,44.892,hold,buy,sell
2013-06-03,45.05,,42.9818,45.001,44.88,hold,buy,hold
2013-06-04,45.05,,43.0824,45.0175,44.888,hold,buy,hold
2013-06-05,44.3,,43.1484,44.985,44.84,hold,buy,sell
2013-06-06,44.84,,43.208,44.986,44.756,hold,buy,sell
2013-06-07,44.98,,43.2644,45.003,44.844,hold,buy,sell
2013-06-10,45.58,,43.3268,45.0475,44.95,hold,buy,hold
2013-06-11,44.92,,43.3884,45.057,44.924,hold,buy,sell
2013-06-12,44.79,,43.4444,45.0425,45.022,hold,buy,sell
2013-06-13,45.56,,43.5318,45.0485,45.166,hold,buy,buy
2013-06-14,45.23,,43.604,45.0625,45.216,hold,buy,buy
2013-06-17,45.59,,43.69,45.035,45.218,hold,buy,buy
2013-06-18,46.0,,43.7786,45.065,45.434,hold,buy,buy
2013-06-19,45.66,,43.868,45.0785,45.608,hold,buy,buy
2013-06-20,44.62,,43.9254,45.0575,45.42,hold,buy,hold
2013-06-21,44.88,,43.985,45.0755,45.35,hold,buy,hold
2013-06-24,44.57,,44.0476,45.0485,45.146,hold,buy,hold
2013-06-25,45.12,,44.1436,45.054,44.97,hold,buy,hold
2013-06-26,45.66,,44.2332,45.11,44.97,hold,buy,hold
2013-06-27,46.06,,44.3432,45.15,45.258,hold,buy,buy
2013-06-28,45.69,,44.45,45.2075,45.42,hold,buy,buy
2013-07-01,46.3,,44.5562,45.27,45.766,hold,buy,buy
2013-07-02,46.31,,44.6648,45.333,46.004,hold,buy,buy
2013-07-03,46.76,,44.7716,45.456,46.224,hold,buy,buy
2013-07-05,47.7,,44.8904,45.599,46.552,hold,buy,buy
2013-07-08,47.02,,44.987,45.701,46.818,hold,buy,buy
2013-07-09,46.8,,45.0868,45.762,46.918,hold,buy,buy
2013-07-10,46.68,,45.1808,45.85,46.992,hold,buy,buy
2013-07-11,47.49,,45.2882,45.985,47.138,hold,buy,buy
2013-07-12,47.68,,45.4118,46.091,47.134,hold,buy,buy
2013-07-15,47.56,,45.486,46.2075,47.242,hold,buy,buy
2013-07-16,47.34,,45.5352,46.295,47.35,hold,buy,buy
2013-07-17,47.41,,45.589,46.3655,47.496,hold,buy,buy
2013-07-18,47.75,,45.645,46.47,47.548,hold,buy,buy
2013-07-19,47.48,,45.6982,46.613,47.508,hold,buy,buy
2013-07-22,47.8,,45.7614,46.759,47.556,hold,buy,buy
2013-07-23,47.14,,45.8104,46.8875,47.516,hold,buy,buy
2013-07-24,46.69,,45.8496,46.966,47.372,hold,buy,hold
2013-07-25,48.65,,45.921,47.1155,47.552,hold,buy,buy
2013-07-26,48.3,,45.9782,47.2275,47.716,hold,buy,buy
2013-07-29,47.99,,46.039,47.3425,47.754,hold,buy,buy
2013-07-30,47.86,,46.0734,47.4205,47.898,hold,buy,buy
2013-07-31,44.25,,46.0504,47.3175,47.41,hold,hold,hold
2013-08-01,44.79,,46.0384,47.219,46.638,hold,hold,sell
2013-08-02,46.0,,46.0576,47.134,46.178,hold,hold,sell
2013-08-05,46.14,,46.09,47.09,45.808,hold,buy,sell
2013-08-06,45.72,,46.1022,47.036,45.38,hold,hold,sell
2013-08-07,45.35,,46.109,46.9695,45.6,hold,hold,sell
2013-08-08,45.2,,46.1222,46.855,45.682,hold,hold,sell
2013-08-09,44.95,,46.116,46.7185,45.472,hold,hold,sell
2013-08-12,44.94,,46.124,46.5875,45.232,hold,hold,sell
2013-08-13,44.81,,46.1192,46.461,45.05,hold,hold,sell
2013-08-14,44.59,,46.11,46.32,44.898,hold,hold,sell
2013-08-15,43.48,,46.0936,46.1065,44.554,hold,hold,sell
2013-08-16,43.28,,46.0624,45.8965,44.22,hold,sell,sell
2013-08-19,43.74,,46.0376,45.6935,43.98,hold,sell,sell
2013-08-20,43.3,,45.992,45.5015,43.678,hold,sell,sell
2013-08-21,44.6,,45.9856,45.397,43.68,hold,sell,sell
2013-08-22,44.73,,45.9844,45.201,43.93,hold,sell,sell
2013-08-23,44.78,,45.9688,45.025,44.23,hold,sell,sell
2013-08-26,43.75,,45.9392,44.813,44.232,hold,sell,sell
2013-08-27,43.54,,45.8982,44.597,44.28,hold,sell,sell
2013-08-28,43.8,,45.8542,44.5745,44.12,hold,sell,sell
2013-08-29,43.84,,45.8178,44.527,43.942,hold,sell,sell
2013-08-30,43.6,,45.7974,44.407,43.706,hold,sell,sell
2013-09-03,44.26,,45.785,44.313,43.808,hold,sell,sell
2013-09-04,44.05,,45.7746,44.2295,43.91,hold,sell,sell
2013-09-05,44.05,,45.7532,44.1645,43.96,hold,sell,sell
2013-09-06,44.17,,45.7234,44.113,44.026,hold,sell,hold
2013-09-09,44.64,,45.695,44.0975,44.234,hold,sell,buy
2013-09-10,46.15,,45.7042,44.158,44.612,hold,hold,buy
2013-09-11,46.58,,45.7098,44.2465,45.118,hold,hold,buy
2013-09-12,46.26,,45.7088,44.33,45.56,hold,hold,buy
2013-09-13,47.25,,45.7186,44.5185,46.176,hold,hold,buy
2013-09-16,47.34,,45.7114,44.7215,46.716,hold,hold,buy
2013-09-17,47.9,,45.729,44.9295,47.066,hold,hold,buy
2013-09-18,48.41,,45.7612,45.185,47.432,hold,hold,buy
2013-09-19,48.68,,45.8012,45.389,47.916,hold,hold,buy
2013-09-20,49.71,,45.8456,45.638,48.408,hold,hold,buy
2013-09-23,49.06,,45.8732,45.852,48.752,hold,hold,buy
2013-09-24,48.34,,45.8888,46.0815,48.84,hold,buy,buy
2013-09-25,47.89,,45.8998,46.299,48.736,hold,buy,buy
2013-09-26,48.39,,45.9194,46.5285,48.678,hold,buy,buy
2013-09-27,48.26,,45.9296,46.7495,48.388,hold,buy,buy
2013-09-30,47.78,,45.9356,46.9585,48.132,hold,buy,buy
2013-10-01,48.3,,45.9456,47.1605,48.124,hold,buy,buy
2013-10-02,47.96,,45.962,47.356,48.138,hold,buy,buy
2013-10-03,47.16,,45.9714,47.5115,47.892,hold,buy,hold
2013-10-04,47.62,,45.9508,47.684,47.764,hold,buy,hold
2013-10-07,46.58,,45.9164,47.781,47.524,hold,buy,sell
2013-10-08,45.63,,45.8692,47.755,46.99,hold,hold,sell
2013-10-09,45.96,,45.8312,47.724,46.59,hold,buy,sell
2013-10-10,47.26,,45.8914,47.774,46.61,hold,buy,sell
2013-10-11,48.0,,45.9556,47.8115,46.686,hold,buy,hold
2013-10-14,48.36,,46.0028,47.8625,47.042,hold,buy,hold
2013-10-15,47.84,43.5147,46.0368,47.8595,47.484,buy,buy,sell
2013-10-16,48.91,43.56975,46.1006,47.8845,48.074,buy,buy,buy
2013-10-17,49.57,43.6234,46.185,47.929,48.536,buy,buy,buy
2013-10-18,50.11,43.67955,46.2832,47.949,48.958,buy,buy,buy
2013-10-21,50.01,43.73365,46.3844,47.9965,49.288,buy,buy,buy
2013-10-22,50.0,43.7863,46.4856,48.0795,49.72,buy,buy,buy
2013-10-23,49.72,43.8357,46.5838,48.171,49.882,buy,buy,buy
2013-10-24,50.73,43.8871,46.7066,48.288,50.114,buy,buy,buy
2013-10-25,50.76,43.94025,46.8522,48.413,50.244,buy,buy,buy
2013-10-28,50.77,43.99265,47.002,48.5625,50.396,buy,buy,buy
2013-10-29,51.06,44.04715,47.1484,48.7005,50.608,buy,buy,buy
2013-10-30,50.96,44.1014,47.3016,48.8505,50.856,buy,buy,buy
2013-10-31,49.17,44.147,47.393,48.951,50.544,buy,buy,buy
2013-11-01,49.79,44.1961,47.4942,49.0595,50.35,buy,buy,buy
2013-11-04,49.1,44.24375,47.5806,49.1855,50.016,buy,buy,hold
2013-11-05,49.34,44.29165,47.6924,49.371,49.672,buy,buy,hold
2013-11-06,49.76,44.34165,47.8168,49.561,49.432,buy,buy,hold
2013-11-07,49.02,44.3873,47.9212,49.649,49.402,buy,buy,sell
2013-11-08,49.57,44.43535,48.0358,49.7275,49.358,buy,buy,sell
2013-11-11,49.82,44.489,48.1602,49.8005,49.502,buy,buy,hold
2013-11-12,49.57,44.54105,48.2664,49.887,49.548,buy,buy,sell
2013-11-13,49.94,44.597,48.3842,49.9385,49.584,buy,buy,hold
2013-11-14,50.04,44.6498,48.504,49.962,49.788,buy,buy,hold
2013-11-15,50.5,44.7041,48.6306,49.9815,49.974,buy,buy,hold
2013-11-18,49.98,44.7582,48.7374,49.98,50.006,buy,buy,buy
2013-11-19,49.35,44.80555,48.8014,49.9475,49.962,buy,buy,hold
2013-11-20,49.53,44.8522,48.8604,49.938,49.88,buy,buy,sell
2013-11-21,50.4,44.9079,48.9432,49.9215,49.952,buy,buy,buy
2013-11-22,50.53,44.9633,49.0088,49.91,49.958,buy,buy,buy
2013-11-25,50.48,45.0203,49.0716,49.8955,50.058,buy,buy,buy
2013-11-26,50.88,45.0787,49.1312,49.8865,50.364,buy,buy,buy
2013-11-27,51.0,45.14025,49.183,49.8885,50.658,buy,buy,buy
2013-11-29,50.86,45.19955,49.2266,49.973,50.75,buy,buy,buy
2013-12-02,51.28,45.25845,49.258,50.0475,50.9,buy,buy,buy
2013-12-03,50.44,45.31365,49.2856,50.1145,50.892,buy,buy,buy
2013-12-04,50.68,45.37275,49.3324,50.1815,50.852,buy,buy,buy
2013-12-05,50.43,45.4281,49.3832,50.215,50.738,buy,buy,buy
2013-12-06,50.47,45.48115,49.4248,50.2875,50.66,buy,buy,buy
2013-12-09,50.4,45.5383,49.4676,50.329,50.484,buy,buy,buy
2013-12-10,49.86,45.5903,49.5092,50.331,50.368,buy,buy,hold
2013-12-11,51.42,45.64755,49.5716,50.4235,50.516,buy,buy,buy
2013-12-12,50.86,45.70355,49.6296,50.4695,50.602,buy,buy,buy
2013-12-13,51.84,45.76515,49.7232,50.5595,50.876,buy,buy,buy
2013-12-16,51.94,45.82545,49.8096,50.6315,51.184,buy,buy,buy
2013-12-17,53.31,45.89165,49.9442,50.798,51.874,buy,buy,buy
2013-12-18,53.84,45.95955,50.1084,51.0225,52.358,buy,buy,buy
2013-12-19,54.02,46.029,50.2696,51.247,52.99,buy,buy,buy
2013-12-20,53.99,46.0981,50.4042,51.4265,53.42,buy,buy,buy
2013-12-23,54.51,46.16915,50.5344,51.6255,53.934,buy,buy,buy
2013-12-24,54.68,46.2428,50.6608,51.8355,54.208,buy,buy,buy
2013-12-26,55.05,46.31885,50.805,52.044,54.45,buy,buy,buy
2013-12-27,54.92,46.39265,50.9252,52.24,54.63,buy,buy,buy
2013-12-30,55.23,46.4706,51.0384,52.4585,54.878,buy,buy,buy
2013-12-31,55.67,46.55135,51.1496,52.678,55.11,buy,buy,buy
2014-01-02,55.25,46.6326,51.2544,52.9185,55.224,buy,buy,buy
2014-01-03,55.29,46.7099,51.3602,53.149,55.272,buy,buy,buy
2014-01-06,54.96,46.78745,51.465,53.3755,55.28,buy,buy,buy
2014-01-07,55.38,46.86425,51.558,53.621,55.31,buy,buy,buy
2014-01-08,55.56,46.93705,51.654,53.879,55.288,buy,buy,buy
2014-01-09,55.48,47.00515,51.7482,54.16,55.334,buy,buy,buy
2014-01-10,55.28,47.07075,51.8326,54.353,55.332,buy,buy,buy
2014-01-13,54.72,47.13205,51.9078,54.546,55.284,buy,buy,buy
2014-01-14,55.66,47.20115,52.0376,54.737,55.34,buy,buy,buy
2014-01-15,55.94,47.2709,52.1606,54.937,55.416,buy,buy,buy
2014-01-16,55.44,47.34215,52.2874,55.0435,55.408,buy,buy,buy
2014-01-17,58.04,47.42425,52.4614,55.2535,55.96,buy,buy,buy
2014-01-21,57.98,47.5077,52.6258,55.4515,56.612,buy,buy,buy
2014-01-22,58.25,47.5911,52.8104,55.6645,57.13,buy,buy,buy
2014-01-23,57.06,47.67045,52.9602,55.792,57.354,buy,buy,buy
2014-01-24,55.31,47.73825,53.07,55.8235,57.328,buy,buy,hold
2014-01-27,54.06,47.79905,53.1598,55.774,56.532,buy,buy,hold
2014-01-28,55.24,47.86805,53.2658,55.79,55.984,buy,buy,hold
2014-01-29,54.28,47.93785,53.3506,55.7425,55.19,buy,buy,sell
2014-01-30,55.22,48.00805,53.445,55.72,54.822,buy,buy,sell
2014-01-31,53.86,48.07455,53.5226,55.6505,54.532,buy,buy,sell
2014-02-03,53.37,48.13965,53.603,55.5545,54.394,buy,hold,sell
2014-02-04,53.64,48.2029,53.6852,55.4885,54.074,buy,hold,sell
2014-02-05,53.9,48.268,53.7552,55.4145,53.998,buy,buy,sell
2014-02-06,54.75,48.33465,53.8396,55.374,53.904,buy,buy,sell
2014-02-07,55.44,48.40305,53.9388,55.372,54.22,buy,buy,hold
2014-02-10,55.14,48.4678,54.024,55.365,54.574,buy,buy,sell
2014-02-11,55.58,48.53665,54.1156,55.408,54.962,buy,buy,hold
2014-02-12,56.04,48.60695,54.2192,55.427,55.39,buy,buy,hold
2014-02-13,56.01,48.6764,54.3138,55.4305,55.642,buy,buy,buy
2014-02-14,56.5,48.7514,54.435,55.4835,55.854,buy,buy,buy
2014-02-18,56.52,48.81475,54.5518,55.4075,56.13,buy,buy,buy
2014-02-19,55.97,48.8702,54.6626,55.307,56.208,buy,buy,buy
2014-02-20,55.86,48.9259,54.7704,55.1875,56.172,buy,buy,buy
2014-02-21,55.84,48.98035,54.8792,55.1265,56.138,buy,buy,buy
2014-02-24,56.55,49.039,55.013,55.1885,56.148,buy,buy,buy
2014-02-25,56.78,49.0997,55.1202,55.3245,56.2,buy,buy,buy
2014-02-26,56.53,49.1589,55.2336,55.389,56.312,buy,buy,buy
2014-02-27,56.57,49.2181,55.3282,55.5035,56.454,buy,buy,buy
2014-02-28,56.48,49.2751,55.419,55.5665,56.582,buy,buy,buy
2014-03-03,55.36,49.3247,55.46,55.6415,56.344,buy,hold,hold
2014-03-04,56.38,49.38185,55.5108,55.792,56.264,buy,buy,buy
2014-03-05,55.7,49.42965,55.5444,55.895,56.098,buy,buy,hold
2014-03-06,55.96,49.48245,55.5838,55.998,55.976,buy,buy,sell
2014-03-07,56.39,49.53745,55.6214,56.08,55.958,buy,buy,hold
2014-03-10,56.38,49.59415,55.6554,56.127,56.162,buy,buy,buy
